T,R,T1,T2
16.6,0,16.6,18.1
16.2,0,16.6,17.1
16.2,0,16.6,17.1
16.2,0,16.6,16.6
16.2,0,16.2,16.6
16.2,0,16.2,16.6
16.2,0,16.2,16.6
16.2,550.8794732,16.2,16.6
16.2,850.2512364,16.6,17.1
16.2,992.6525819,16.6,18.1
16.2,1070.329052,17.1,18.7
16.6,1113.993742,17.1,19.2
17.6,1136.210471,18.7,23.6
17.6,1142.239726,18.7,22.9
19.8,1133.386161,20.4,25
18.7,1107.716257,20.4,25
20.4,1058.978554,21,25
19.8,972.4437341,21,25
19.8,811.1882667,21.6,25
19.2,457.3349975,21,23.6
18.7,0,20.4,22.2
18.7,0,19.8,21.6
18.7,0,19.2,20.4
18.7,0,19.2,19.8
18.7,0,18.7,19.2
17.1,0,17.6,18.7
17.1,0,17.6,18.1
17.1,0,17.6,17.6
17.1,0,17.1,17.6
16.6,0,17.1,17.1
16.6,0,17.1,17.1
17.1,553.9668759,16.6,17.1
18.1,850.6060113,17.1,17.6
19.2,992.2513465,18.1,21
21.6,1069.662325,20.4,25.8
22.2,1113.223279,23.6,33.2
23.6,1135.399806,28.3,43.2
24.3,1141.419615,34.4,49.4
25,1132.580136,34.4,54.8
25,1106.95869,30.1,51.9
25.8,1058.344157,30.1,49.4
27.4,972.1285579,29.2,45.1
29.2,811.8114824,28.3,41.4
25,461.5920694,27.4,35.6
22.2,0,25.8,31.1
21,0,22.9,27.4
20.4,0,21,23.6
19.8,0,20.4,21.6
19.8,0,19.8,20.4
19.2,0,19.2,19.2
19.2,0,18.7,18.1
18.7,0,18.7,17.6
18.7,0,18.1,17.1
18.1,0,18.1,17.1
18.1,0,18.1,16.6
18.7,556.9345801,18.1,17.1
19.8,850.9333266,19.8,19.8
20.4,991.8446535,22.2,25
23.6,1068.997513,26.6,33.2
26.6,1112.457642,32.1,43.2
27.4,1134.595138,36.9,51.9
27.4,1140.605785,35.6,54.8
28.3,1131.77997,34.4,58
28.3,1106.205582,34.4,58
28.3,1057.710779,33.2,51.9
31.1,971.8055057,32.1,49.4
31.1,812.399013,31.1,41.4
28.3,465.6853639,30.1,36.9
25.8,0,28.3,33.2
25,0,26.6,30.1
24.3,0,25,27.4
23.6,0,24.3,25.8
25,0,24.3,24.3
24.3,0,24.3,23.6
24.3,0,24.3,23.6
25,0,24.3,22.9
25.8,0,25,23.6
25,0,25,23.6
25,0,24.3,22.9
25,559.7856531,25,23.6
25.8,851.2340411,25.8,25.8
26.6,991.433094,27.4,29.2
27.4,1068.335155,29.2,33.2
31.1,1111.697354,32.1,38.3
30.1,1133.796984,35.6,45.1
32.1,1139.79875,35.6,47.1
33.2,1130.986181,36.9,49.4
34.4,1105.457458,39.8,51.9
34.4,1057.078964,45.1,51.9
32.1,971.4751899,39.8,49.4
32.1,812.9518527,38.3,45.1
29.2,469.619349,35.6,41.4
27.4,0,34.4,36.9
25,0,29.2,33.2
25,0,28.3,30.1
29.2,0,28.3,28.3
28.3,0,33.8,38
27.4,0,32.5,36.7
25.8,0,30.2,34.3
22.9,0,26.1,30
25.8,0,30.2,34.3
23.6,0,27.1,31
22.2,0,25.1,29
25.8,562.5230455,30.2,34.3
29.2,851.5089951,35.2,39.4
26.6,991.0172508,31.4,35.5
28.3,1067.675783,33.8,38
33.2,1110.942935,41.2,45.5
32.1,1133.005856,39.5,43.8
31.1,1138.999021,38,42.3
33.2,1130.199282,41.2,45.5
33.2,1104.714838,41.2,45.5
33.2,1056.44925,41.2,45.5
34.4,971.1382142,43,47.4
33.2,813.4709716,41.2,45.5
31.1,473.3983088,38,42.3
29.2,0,35.2,39.4
28.3,0,33.8,38
28.3,0,33.8,38
30.1,0,36.5,40.8
30.1,0,33.2,38.3
29.2,0,32.1,35.6
28.3,0,31.1,34.4
28.3,0,29.2,34.4
27.4,0,28.3,33.2
26.6,0,27.4,32.1
25.8,0,26.6,31.1
26.6,565.1495953,26.6,30.1
28.3,851.7590102,28.3,30.1
29.2,990.5976984,33.2,32.1
33.2,1067.019927,38.3,35.6
34.4,1110.194896,45.1,39.8
